Date,CPIENGSL,CAPG211S,CAPUTLG211S,IPG211S,IPG211111CN,INDPRO,IPN213111N,PCU211211
1927-10-01,,,,,,6.3761,,
1927-11-01,,,,,,6.3761,,
1927-12-01,,,,,,6.4031,,
1928-01-01,,,,,,6.5382,,
1928-02-01,,,,,,6.5923,,
1928-03-01,,,,,,6.6463,,
1928-04-01,,,,,,6.6193,,
1928-05-01,,,,,,6.7003,,
1928-06-01,,,,,,6.7544,,
1928-07-01,,,,,,6.8354,,
1928-08-01,,,,,,6.9705,,
1928-09-01,,,,,,7.0245,,
1928-10-01,,,,,,7.1596,,
1928-11-01,,,,,,7.2947,,
1928-12-01,,,,,,7.4298,,
1929-01-01,,,,,,7.5379,,
1929-02-01,,,,,,7.5109,,
1929-03-01,,,,,,7.5379,,
1929-04-01,,,,,,7.673,,
1929-05-01,,,,,,7.8081,,
1929-06-01,,,,,,7.8621,,
1929-07-01,,,,,,7.9702,,
1929-08-01,,,,,,7.8891,,
1929-09-01,,,,,,7.8351,,
1929-10-01,,,,,,7.7,,
1929-11-01,,,,,,7.3217,,
1929-12-01,,,,,,6.9975,,
1930-01-01,,,,,,6.9975,,
1930-02-01,,,,,,6.9705,,
1930-03-01,,,,,,6.8624,,
1930-04-01,,,,,,6.8084,,
1930-05-01,,,,,,6.7003,,
1930-06-01,,,,,,6.5112,,
1930-07-01,,,,,,6.214,,
1930-08-01,,,,,,6.0789,,
1930-09-01,,,,,,5.9709,,
1930-10-01,,,,,,5.8088,,
1930-11-01,,,,,,5.6737,,
1930-12-01,,,,,,5.5386,,
1931-01-01,,,,,,5.5116,,
1931-02-01,,,,,,5.5386,,
1931-03-01,,,,,,5.6467,,
1931-04-01,,,,,,5.6737,,
1931-05-01,,,,,,5.5926,,
1931-06-01,,,,,,5.4575,,
1931-07-01,,,,,,5.3765,,
1931-08-01,,,,,,5.1874,,
1931-09-01,,,,,,4.9442,,
1931-10-01,,,,,,4.7551,,
1931-11-01,,,,,,4.701,,
1931-12-01,,,,,,4.674,,
1932-01-01,,,,,,4.5389,,
1932-02-01,,,,,,4.4309,,
1932-03-01,,,,,,4.3768,,
1932-04-01,,,,,,4.0796,,
1932-05-01,,,,,,3.9446,,
1932-06-01,,,,,,3.8095,,
1932-07-01,,,,,,3.7014,,
1932-08-01,,,,,,3.8095,,
1932-09-01,,,,,,4.0526,,
1932-10-01,,,,,,4.1877,,
1932-11-01,,,,,,4.1877,,
1932-12-01,,,,,,4.1067,,
1933-01-01,,,,,,4.0256,,
1933-02-01,,,,,,4.0526,,
1933-03-01,,,,,,3.8095,,
1933-04-01,,,,,,4.0796,,
1933-05-01,,,,,,4.7551,,
1933-06-01,,,,,,5.4846,,
1933-07-01,,,,,,5.9979,,
1933-08-01,,,,,,5.7547,,
1933-09-01,,,,,,5.4305,,
1933-10-01,,,,,,5.1603,,
1933-11-01,,,,,,4.8631,,
1933-12-01,,,,,,4.8902,,
1934-01-01,,,,,,5.0523,,
1934-02-01,,,,,,5.2954,,
1934-03-01,,,,,,5.5386,,
1934-04-01,,,,,,5.5386,,
1934-05-01,,,,,,5.6467,,
1934-06-01,,,,,,5.5386,,
1934-07-01,,,,,,5.1603,,
1934-08-01,,,,,,5.1063,,
1934-09-01,,,,,,4.8091,,
1934-10-01,,,,,,5.0253,,
1934-11-01,,,,,,5.0793,,
1934-12-01,,,,,,5.4035,,
1935-01-01,,,,,,5.8358,,
1935-02-01,,,,,,5.9438,,
1935-03-01,,,,,,5.9168,,
1935-04-01,,,,,,5.8088,,
1935-05-01,,,,,,5.8088,,
1935-06-01,,,,,,5.8898,,
1935-07-01,,,,,,5.8898,,
1935-08-01,,,,,,6.1059,,
1935-09-01,,,,,,6.2681,,
1935-10-01,,,,,,6.4572,,
1935-11-01,,,,,,6.5923,,
1935-12-01,,,,,,6.6733,,
1936-01-01,,,,,,6.5652,,
1936-02-01,,,,,,6.4031,,
1936-03-01,,,,,,6.4842,,
1936-04-01,,,,,,6.8895,,
1936-05-01,,,,,,7.0245,,
1936-06-01,,,,,,7.1596,,
1936-07-01,,,,,,7.2947,,
1936-08-01,,,,,,7.4028,,
1936-09-01,,,,,,7.5379,,
1936-10-01,,,,,,7.6459,,
1936-11-01,,,,,,7.8621,,
1936-12-01,,,,,,8.1052,,
1937-01-01,,,,,,8.0782,,
1937-02-01,,,,,,8.1863,,
1937-03-01,,,,,,8.3754,,
1937-04-01,,,,,,8.3754,,
1937-05-01,,,,,,8.4024,,
1937-06-01,,,,,,8.2944,,
1937-07-01,,,,,,8.3484,,
1937-08-01,,,,,,8.2944,,
1937-09-01,,,,,,8.0242,,
1937-10-01,,,,,,7.4298,,
1937-11-01,,,,,,6.7003,,
1937-12-01,,,,,,6.1059,,
1938-01-01,,,,,,5.9709,,
1938-02-01,,,,,,5.9168,,
1938-03-01,,,,,,5.9168,,
1938-04-01,,,,,,5.8088,,
1938-05-01,,,,,,5.6737,,
1938-06-01,,,,,,5.7277,,
1938-07-01,,,,,,6.0519,,
1938-08-01,,,,,,6.3761,,
1938-09-01,,,,,,6.5652,,
1938-10-01,,,,,,6.7274,,
1938-11-01,,,,,,6.9975,,
1938-12-01,,,,,,7.0786,,
1939-01-01,,,,,,7.0786,,
1939-02-01,,,,,,7.1326,,
1939-03-01,,,,,,7.1596,,
1939-04-01,,,,,,7.1326,,
1939-05-01,,,,,,7.1056,,
1939-06-01,,,,,,7.2677,,
1939-07-01,,,,,,7.4838,,
1939-08-01,,,,,,7.5919,,
1939-09-01,,,,,,8.0512,,
1939-10-01,,,,,,8.4565,,
1939-11-01,,,,,,8.6726,,
1939-12-01,,,,,,8.6726,,
1940-01-01,,,,,,8.5645,,
1940-02-01,,,,,,8.2944,,
1940-03-01,,,,,,8.1052,,
1940-04-01,,,,,,8.2673,,
1940-05-01,,,,,,8.5105,,
1940-06-01,,,,,,8.7807,,
1940-07-01,,,,,,8.8888,,
1940-08-01,,,,,,8.9428,,
1940-09-01,,,,,,9.1319,,
1940-10-01,,,,,,9.267,,
1940-11-01,,,,,,9.4831,,
1940-12-01,,,,,,9.8073,,
1941-01-01,,,,,,10.0505,,
1941-02-01,,,,,,10.3477,,
1941-03-01,,,,,,10.6719,,
1941-04-01,,,,,,10.6989,,
1941-05-01,,,,,,11.1852,,
1941-06-01,,,,,,11.2663,,
1941-07-01,,,,,,11.4014,,
1941-08-01,,,,,,11.5365,,
1941-09-01,,,,,,11.5365,,
1941-10-01,,,,,,11.6445,,
1941-11-01,,,,,,11.6986,,
1941-12-01,,,,,,11.8877,,
1942-01-01,,,,,,12.1309,,
1942-02-01,,,,,,12.347,,
1942-03-01,,,,,,12.4821,,
1942-04-01,,,,,,12.1308,,
1942-05-01,,,,,,12.1579,,
1942-06-01,,,,,,12.1849,,
1942-07-01,,,,,,12.4821,,
1942-08-01,,,,,,12.8603,,
1942-09-01,,,,,,13.1575,,
1942-10-01,,,,,,13.5898,,
1942-11-01,,,,,,13.914,,
1942-12-01,,,,,,14.2382,,
1943-01-01,,,,,,14.3733,,
1943-02-01,,,,,,14.7515,,
1943-03-01,,,,,,14.8596,,
1943-04-01,,,,,,15.0487,,
1943-05-01,,,,,,15.1568,,
1943-06-01,,,,,,15.0758,,
1943-07-01,,,,,,15.535,,
1943-08-01,,,,,,15.8592,,
1943-09-01,,,,,,16.2645,,
1943-10-01,,,,,,16.5077,,
1943-11-01,,,,,,16.7238,,
1943-12-01,,,,,,16.5077,,
1944-01-01,,,,,,16.6968,,
1944-02-01,,,,,,16.8319,,
1944-03-01,,,,,,16.8049,,
1944-04-01,,,,,,16.8049,,
1944-05-01,,,,,,16.6968,,
1944-06-01,,,,,,16.6428,,
1944-07-01,,,,,,16.6158,,
1944-08-01,,,,,,16.8319,,
1944-09-01,,,,,,16.7238,,
1944-10-01,,,,,,16.7779,,
1944-11-01,,,,,,16.6428,,
1944-12-01,,,,,,16.5887,,
1945-01-01,,,,,,16.4266,,
1945-02-01,,,,,,16.3726,,
1945-03-01,,,,,,16.2645,,
1945-04-01,,,,,,15.9673,,
1945-05-01,,,,,,15.5351,,
1945-06-01,,,,,,15.1838,,
1945-07-01,,,,,,14.8326,,
1945-08-01,,,,,,13.2926,,
1945-09-01,,,,,,12.1038,,
1945-10-01,,,,,,11.6175,,
1945-11-01,,,,,,12.0498,,
1945-12-01,,,,,,12.1038,,
1946-01-01,,,,,,11.4284,,
1946-02-01,,,,,,10.861,,
1946-03-01,,,,,,11.9958,,
1946-04-01,,,,,,11.7796,,
1946-05-01,,,,,,11.3473,,
1946-06-01,,,,,,12.0498,,
1946-07-01,,,,,,12.4551,,
1946-08-01,,,,,,12.9144,,
1946-09-01,,,,,,13.1575,,
1946-10-01,,,,,,13.4007,,
1946-11-01,,,,,,13.4817,,
1946-12-01,,,,,,13.5628,,
1947-01-01,,,,,,13.7249,,
1947-02-01,,,,,,13.8059,,
1947-03-01,,,,,,13.887,,
1947-04-01,,,,,,13.7789,,
1947-05-01,,,,,,13.8329,,
1947-06-01,,,,,,13.833,,
1947-07-01,,,,,,13.7519,,
1947-08-01,,,,,,13.833,,
1947-09-01,,,,,,13.941,,
1947-10-01,,,,,,14.0761,,
1947-11-01,,,,,,14.2652,,
1947-12-01,,,,,,14.3193,,
1948-01-01,,,,,,14.4003,,
1948-02-01,,,,,,14.4274,,
1948-03-01,,,,,,14.2652,,
1948-04-01,,,,,,14.2922,,
1948-05-01,,,,,,14.5354,,
1948-06-01,,,,,,14.7245,,
1948-07-01,,,,,,14.7245,,
1948-08-01,,,,,,14.6705,,
1948-09-01,,,,,,14.5624,,
1948-10-01,,,,,,14.6705,,
1948-11-01,,,,,,14.4814,,
1948-12-01,,,,,,14.3463,,
1949-01-01,,,,,,14.2112,,
1949-02-01,,,,,,14.0761,,
1949-03-01,,,,,,13.8059,,
1949-04-01,,,,,,13.7249,,
1949-05-01,,,,,,13.5358,,
1949-06-01,,,,,,13.5087,,
1949-07-01,,,,,,13.4817,,
1949-08-01,,,,,,13.6168,,
1949-09-01,,,,,,13.7519,,
1949-10-01,,,,,,13.2386,,
1949-11-01,,,,,,13.5898,,
1949-12-01,,,,,,13.833,,
1950-01-01,,,,,,14.0761,,
1950-02-01,,,,,,14.1302,,
1950-03-01,,,,,,14.5894,,
1950-04-01,,,,,,15.0757,,
1950-05-01,,,,,,15.427,,
1950-06-01,,,,,,15.8863,,
1950-07-01,,,,,,16.3996,,
1950-08-01,,,,,,16.9129,,
1950-09-01,,,,,,16.8049,,
1950-10-01,,,,,,16.9129,,
1950-11-01,,,,,,16.8859,,
1950-12-01,,,,,,17.1831,,
1951-01-01,,,,,,17.2371,,
1951-02-01,,,,,,17.3452,,
1951-03-01,,,,,,17.4263,,
1951-04-01,,,,,,17.4533,,
1951-05-01,,,,,,17.3993,,
1951-06-01,,,,,,17.3182,,
1951-07-01,,,,,,17.048,,
1951-08-01,,,,,,16.8859,,
1951-09-01,,,,,,16.994,,
1951-10-01,,,,,,16.967,,
1951-11-01,,,,,,17.1021,,
1951-12-01,,,,,,17.2101,,
1952-01-01,,,,,,17.3993,,
1952-02-01,,,,,,17.5073,,
1952-03-01,,,,,,17.5614,,
1952-04-01,,,,,,17.3993,,
1952-05-01,,,,,,17.2372,,
1952-06-01,,,,,,17.075,,
1952-07-01,,,,,,16.8049,,
1952-08-01,,,,,,17.8856,,
1952-09-01,,,,,,18.534,,
1952-10-01,,,,,,18.7231,,
1952-11-01,,,,,,19.1014,,
1952-12-01,,,,,,19.2094,,
1953-01-01,,,,,,19.2635,,
1953-02-01,,,,,,19.3715,,
1953-03-01,,,,,,19.5337,,
1953-04-01,,,,,,19.6147,,
1953-05-01,,,,,,19.7228,,
1953-06-01,,,,,,19.6417,,
1953-07-01,,,,,,19.8849,,
1953-08-01,,,,,,19.7768,,
1953-09-01,,,,,,19.3715,,
1953-10-01,,,,,,19.2094,,
1953-11-01,,,,,,18.7501,,
1953-12-01,,,,,,18.2908,,
1954-01-01,,,,,,18.1557,,
1954-02-01,,,,,,18.2098,,
1954-03-01,,,,,,18.1017,,
1954-04-01,,,,,,17.9936,,
1954-05-01,,,,,,18.1017,,
1954-06-01,,,,,,18.1558,,
1954-07-01,,,,,,18.1828,,
1954-08-01,,,,,,18.1557,,
1954-09-01,,,,,,18.1828,,
1954-10-01,,,,,,18.3989,,
1954-11-01,,,,,,18.6961,,
1954-12-01,,,,,,18.9392,,
1955-01-01,,,,,,19.3715,,
1955-02-01,,,,,,19.6147,,
1955-03-01,,,,,,20.074,,
1955-04-01,,,,,,20.3172,,
1955-05-01,,,,,,20.6413,,
1955-06-01,,,,,,20.6684,,
1955-07-01,,,,,,20.8305,,
1955-08-01,,,,,,20.8035,,
1955-09-01,,,,,,20.9386,,
1955-10-01,,,,,,21.2898,,
1955-11-01,,,,,,21.3438,,
1955-12-01,,,,,,21.4249,,
1956-01-01,,,,,,21.56,,
1956-02-01,,,,,,21.3708,,
1956-03-01,,,,,,21.3708,,
1956-04-01,,,,,,21.5329,,
1956-05-01,,,,,,21.3438,,
1956-06-01,,,,,,21.1547,,
1956-07-01,,,,,,20.5063,,
1956-08-01,,,,,,21.3438,,
1956-09-01,,,,,,21.8301,,
1956-10-01,,,,,,22.0192,,
1956-11-01,,,,,,21.8301,,
1956-12-01,,,,,,22.1543,,
1957-01-01,21.3,,,,,22.0733,,
1957-02-01,21.4,,,,,22.2894,,
1957-03-01,21.5,,,,,22.2624,,
1957-04-01,21.6,,,,,21.9652,,
1957-05-01,21.6,,,,,21.8842,,
1957-06-01,21.6,,,,,21.9382,,
1957-07-01,21.5,,,,,22.0733,,
1957-08-01,21.4,,,,,22.0733,,
1957-09-01,21.4,,,,,21.8842,,
1957-10-01,21.4,,,,,21.5599,,
1957-11-01,21.5,,,,,21.0466,,
1957-12-01,21.5,,,,,20.6414,,
1958-01-01,21.6,,,,,20.2631,,
1958-02-01,21.3,,,,,19.8308,,
1958-03-01,21.4,,,,,19.5877,,
1958-04-01,21.4,,,,,19.2635,,
1958-05-01,21.5,,,,,19.4526,,
1958-06-01,21.5,,,,,19.9659,,
1958-07-01,21.6,,,,,20.2631,,
1958-08-01,21.7,,,,,20.6684,,
1958-09-01,21.7,,,,,20.8575,,
1958-10-01,21.7,,,,,21.1007,,
1958-11-01,21.4,,,,,21.7221,,
1958-12-01,21.4,,,,,21.7491,,
1959-01-01,21.4,,,,,22.0733,,
1959-02-01,21.6,,,,,22.5056,,
1959-03-01,21.7,,,,,22.8298,,
1959-04-01,21.8,,,,,23.3161,,
1959-05-01,21.8,,,,,23.6673,,
1959-06-01,21.9,,,,,23.6944,,
1959-07-01,21.8,,,,,23.127,,
1959-08-01,21.9,,,,,22.3435,,
1959-09-01,21.9,,,,,22.3165,,
1959-10-01,22.2,,,,,22.1544,,
1959-11-01,22.2,,,,,22.2894,,
1959-12-01,22.3,,,,,23.6673,,
1960-01-01,22.3,,,,,24.2887,,
1960-02-01,22.2,,,,,24.0726,,
1960-03-01,22.3,,,,,23.8565,,
1960-04-01,22.4,,,,,23.6673,,
1960-05-01,22.3,,,,,23.6403,,
1960-06-01,22.4,,,,,23.3431,,
1960-07-01,22.5,,,,,23.2621,,
1960-08-01,22.5,,,,,23.235,,
1960-09-01,22.6,,,,,22.9919,,
1960-10-01,22.5,,,,,22.9649,,
1960-11-01,22.7,,,,,22.6407,,
1960-12-01,22.6,,,,,22.2084,,
1961-01-01,22.7,,,,,22.2354,,
1961-02-01,22.6,,,,,22.2084,,
1961-03-01,22.6,,,,,22.3435,,
1961-04-01,22.2,,,,,22.8028,,
1961-05-01,22.4,,,,,23.154,,
1961-06-01,22.5,,,,,23.4782,,
1961-07-01,22.5,,,,,23.7484,,
1961-08-01,22.5,,,,,23.9645,,
1961-09-01,22.6,,,,,23.9375,,
1961-10-01,22.4,,,,,24.3968,,
1961-11-01,22.5,,,,,24.775,,
1961-12-01,22.4,,,,,24.9912,,
1962-01-01,22.4,,,,,24.775,,
1962-02-01,22.6,,,,,25.1803,,
1962-03-01,22.4,,,,,25.3154,,
1962-04-01,22.7,,,,,25.3694,,
1962-05-01,22.7,,,,,25.3424,,
1962-06-01,22.5,,,,,25.2884,,
1962-07-01,22.3,,,,,25.5315,,
1962-08-01,22.4,,,,,25.5585,,
1962-09-01,22.8,,,,,25.7206,,
1962-10-01,22.7,,,,,25.7477,,
1962-11-01,22.7,,,,,25.8557,,
1962-12-01,22.8,,,,,25.8557,,
1963-01-01,22.8,,,,,26.0448,,
1963-02-01,22.7,,,,,26.3421,,
1963-03-01,22.7,,,,,26.5042,,
1963-04-01,22.6,,,,,26.7473,,
1963-05-01,22.6,,,,,27.0715,,
1963-06-01,22.5,,,,,27.1526,,
1963-07-01,22.7,,,,,27.0445,,
1963-08-01,22.6,,,,,27.0985,,
1963-09-01,22.5,,,,,27.3687,,
1963-10-01,22.7,,,,,27.5578,,
1963-11-01,22.6,,,,,27.6929,,
1963-12-01,22.6,,,,,27.6389,,
1964-01-01,22.8,,,,,27.882,,
1964-02-01,22.2,,,,,28.0712,,
1964-03-01,22.6,,,,,28.0712,,
1964-04-01,22.5,,,,,28.5305,,
1964-05-01,22.5,,,,,28.6926,,
1964-06-01,22.6,,,,,28.7736,,
1964-07-01,22.5,,,,,28.9627,,
1964-08-01,22.6,,,,,29.1519,,
1964-09-01,22.5,,,,,29.2599,,
1964-10-01,22.5,,,,,28.8547,,
1964-11-01,22.5,,,,,29.7463,,
1964-12-01,22.6,,,,,30.0975,,
1965-01-01,22.8,,,,,30.4217,,
1965-02-01,22.7,,,,,30.6108,,
1965-03-01,22.6,,,,,31.0161,,
1965-04-01,22.9,,,,,31.1512,,
1965-05-01,23.0,,,,,31.3943,,
1965-06-01,23.1,,,,,31.6375,,
1965-07-01,23.0,,,,,31.9347,,
1965-08-01,23.0,,,,,32.0698,,
1965-09-01,23.1,,,,,32.1508,,
1965-10-01,23.0,,,,,32.475,,
1965-11-01,23.1,,,,,32.6101,,
1965-12-01,23.1,,,,,33.0154,,
1966-01-01,23.1,,,,,33.3396,,
1966-02-01,23.2,,,,,33.5557,,
1966-03-01,23.2,,,,,34.015,,
1966-04-01,23.2,,,,,34.0691,,
1966-05-01,23.2,,,,,34.3933,,
1966-06-01,23.3,,,,,34.5553,,
1966-07-01,23.4,,,,,34.7445,,
1966-08-01,23.3,,,,,34.7715,,
1966-09-01,23.4,,,,,35.0957,,
1966-10-01,23.4,,,,,35.3389,,
1966-11-01,23.5,,,,,35.0957,,
1966-12-01,23.5,,,,,35.1768,,
1967-01-01,23.6,,,,,35.3427,,
1967-02-01,23.7,,,,,34.9419,,
1967-03-01,23.6,,,,,34.7449,,
1967-04-01,23.9,,,,,35.0726,,
1967-05-01,23.9,,,,,34.7666,,
1967-06-01,23.8,,,,,34.7623,,
1967-07-01,23.8,,,,,34.6831,,
1967-08-01,23.9,,,,,35.3476,,
1967-09-01,24.0,,,,,35.2902,,
1967-10-01,23.9,,,,,35.5776,,
1967-11-01,24.0,,,,,36.0864,,
1967-12-01,23.9,,,,,36.4751,,
1968-01-01,24.0,,,,,36.4358,,
1968-02-01,24.1,,,,,36.5664,,
1968-03-01,24.1,,,,,36.6805,,
1968-04-01,24.0,,,,,36.7336,,
1968-05-01,24.1,,,,,37.1457,,
1968-06-01,24.2,,,,,37.2821,,
1968-07-01,24.2,,,,,37.2249,,
1968-08-01,24.3,,,,,37.3288,,
1968-09-01,24.3,,,,,37.4702,,
1968-10-01,24.3,,,,,37.5446,,
1968-11-01,24.4,,,,,38.0302,,
1968-12-01,24.3,,,,,38.1503,,
1969-01-01,24.4,,,,,38.3811,,
1969-02-01,24.4,,,,,38.6268,,
1969-03-01,24.7,,,,,38.9297,,
1969-04-01,24.9,,,,,38.7864,,
1969-05-01,24.8,,,,,38.6398,,
1969-06-01,25.0,,,,,39.0173,,
1969-07-01,24.9,,,,,39.2233,,
1969-08-01,24.9,,,,,39.3134,,
1969-09-01,25.0,,,,,39.3046,,
1969-10-01,25.0,,,,,39.3161,,
1969-11-01,25.0,,,,,38.9455,,
1969-12-01,25.1,,,,,38.841,,
1970-01-01,25.1,,,,,38.1217,,
1970-02-01,25.1,,,,,38.0966,,
1970-03-01,25.0,,,,,38.0472,,
1970-04-01,25.5,,,,,37.9493,,
1970-05-01,25.4,,,,,37.9051,,
1970-06-01,25.3,,,,,37.7825,,
1970-07-01,25.5,,,,,37.8753,,
1970-08-01,25.4,,,,,37.8077,,
1970-09-01,25.6,,,,,37.5471,,
1970-10-01,25.9,,,,,36.796,,
1970-11-01,26.0,,,,,36.5732,,
1970-12-01,26.2,,,,,37.4131,,
1971-01-01,26.3,,,,,37.7008,,
1971-02-01,26.2,,,,,37.629,,
1971-03-01,26.2,,,,,37.5883,,
1971-04-01,26.1,,,,,37.7993,,
1971-05-01,26.2,,,,,37.9911,,
1971-06-01,26.3,,,,,38.1505,,
1971-07-01,26.3,,,,,38.0397,,
1971-08-01,26.8,,,,,37.819,,
1971-09-01,26.9,,,,,38.4336,,
1971-10-01,27.0,,,,,38.7213,,
1971-11-01,26.9,,,,,38.8856,,
1971-12-01,27.0,,,,,39.3345,,
1972-01-01,27.0,85.6192,92.1511,78.899,141.5122,40.2751,101.6812,
1972-02-01,26.8,85.392,92.6041,79.0765,145.166,40.6932,99.7224,
1972-03-01,26.9,85.1712,93.9316,80.0027,147.2945,40.9766,98.3908,
1972-04-01,26.9,84.9592,95.114,80.8081,148.2239,41.3843,97.7534,
1972-05-01,27.0,84.7495,95.1258,80.6186,149.7792,41.39,97.7241,
1972-06-01,27.0,84.5431,94.9669,80.288,148.3578,41.4898,99.3046,
1972-07-01,27.1,84.3429,94.8441,79.9943,147.9583,41.4485,100.6484,
1972-08-01,27.3,84.1513,95.4356,80.3103,147.7679,42.0158,101.4632,
1972-09-01,27.6,83.9688,96.3318,80.8886,148.14,42.3429,102.0047,
1972-10-01,27.7,83.7956,95.5996,80.1083,147.7513,42.8745,102.6907,
1972-11-01,27.9,83.6315,95.6252,79.9728,146.8872,43.3834,103.2544,
1972-12-01,27.8,83.4767,95.4414,79.6713,145.4847,43.8725,104.7785,
1973-01-01,27.9,83.3306,94.8102,79.0059,142.9637,44.1952,105.8602,
1973-02-01,28.2,83.1914,95.8023,79.6993,146.3459,44.8299,96.3058,
1973-03-01,28.3,83.0581,94.6545,78.6182,144.5641,44.8444,94.5587,
1973-04-01,28.6,82.9297,94.8867,78.6893,144.8406,44.7876,85.1989,
1973-05-01,28.8,82.8027,95.3083,78.9179,144.363,45.0922,82.1071,
1973-06-01,29.2,82.6746,95.3825,78.8571,143.5764,45.1372,86.9913,
1973-07-01,29.2,82.5446,95.5492,78.8707,143.6585,45.3163,91.718,
1973-08-01,29.4,82.4098,95.6952,78.8622,142.9298,45.2482,94.3866,
1973-09-01,29.4,82.2675,95.0934,78.231,141.3673,45.6148,96.3701,
1973-10-01,30.3,82.1159,95.5763,78.4833,143.7918,45.9627,99.268,
1973-11-01,31.5,81.9535,95.5964,78.3446,142.8316,46.1781,101.9377,
1973-12-01,32.5,81.781,95.0419,77.7262,141.3275,46.0553,103.3111,
1974-01-01,34.1,81.5982,94.9469,77.475,139.319,45.7415,103.5528,
1974-02-01,35.4,81.4034,94.9301,77.2763,142.5215,45.6029,104.6312,
1974-03-01,36.9,81.1983,94.4771,76.7138,139.8507,45.6093,107.7761,
1974-04-01,37.6,80.9852,94.2089,76.2953,139.6675,45.4865,112.4517,
1974-05-01,38.3,80.7644,94.4324,76.2677,138.9709,45.8299,108.3898,
1974-06-01,38.6,80.5371,93.3743,75.2009,136.9669,45.7552,106.2991,
1974-07-01,38.9,80.3074,93.8259,75.3491,136.9465,45.828,109.7878,
